canonical_structure_group_id,canonical_smiles,InChIKey,aliases,references,solvent,n_measurements,E00_mean,E00_median,E00_std,E00_min,E00_max,E00_range,primary_target,source_domain_status,generic_bemis_murcko_scaffold,bemis_murcko_scaffold,CzBN_domain_status,CzBN_substituent_family,CzBN_structural_cluster
E00_133_00001,BrCCCCCCCCCCCCOc1cc2ccc3cccc4ccc(c1)c2c34,XGPJSGXGSRYVHR-UHFFFAOYSA-N,,http://dx.doi.org/10.1021/ja2006862,toluene,1,3.2291666666666665,3.2291666666666665,0.0,3.2291666666666665,3.2291666666666665,0.0,3.2291666666666665,general_only,C1CC2CCC3CCCC4CCC(C1)C2C34,c1cc2ccc3cccc4ccc(c1)c2c34,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00002,Brc1ccc(Nc2ccc3ccccc3n2)cc1,LPIVLGOHRPHVOO-UHFFFAOYSA-N,,https://doi.org/10.1016/j.jlumin.2018.12.059,toluene,1,3.3410567350333777,3.3410567350333777,0.0,3.3410567350333777,3.3410567350333777,0.0,3.3410567350333777,general_only,C1CCC(CC2CCC3CCCCC3C2)CC1,c1ccc(Nc2ccc3ccccc3n2)cc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00003,C#CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,NEVQIVQOUXGAJH-LHFMAAMQSA-N,,10.1021/jp901867h,toluene,1,3.5896921017402947,3.5896921017402947,0.0,3.5896921017402947,3.5896921017402947,0.0,3.5896921017402947,general_only,C1CCC2C(C1)CCCC2CC1CC2CCC1CC2,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00004,C#CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,HZLIYQYOKQCYPW-UHFFFAOYSA-N,,https://doi.org/10.1016/j.molliq.2019.04.058,toluene,1,2.7510346009746063,2.7510346009746063,0.0,2.7510346009746063,2.7510346009746063,0.0,2.7510346009746063,general_only,C1CC2CC3CCCC3CC2C1,[BH2-]1n2cccc2C=C2C=CC=[N+]12,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00005,C#CCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(O)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,WGEMQNQKLMUDIF-UHFFFAOYSA-N,,DOI: 10.1021/ol902140v,toluene,1,1.777120740809182,1.777120740809182,0.0,1.777120740809182,1.777120740809182,0.0,1.777120740809182,general_only,C1CCC(C2CC(C3CCCCC3)C3CC4C(C5CCCCC5)CC(C5CCCCC5)C4CC23)CC1,[BH2-]1n2c(-c3ccccc3)cc(-c3ccccc3)c2N=C2C(c3ccccc3)=CC(c3ccccc3)=[N+]12,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00006,C(#Cc1cc2ccc3cc(C#Cc4ccccc4)cc4ccc(c1)c2c34)c1ccccc1,PWEPNPPYNAIHNX-UHFFFAOYSA-N,,http://dx.doi.org/10.1021/ja2006862,toluene,1,2.995448710467966,2.995448710467966,0.0,2.995448710467966,2.995448710467966,0.0,2.995448710467966,general_only,C1CCC(CCC2CC3CCC4CC(CCC5CCCCC5)CC5CCC(C2)C3C45)CC1,C(#Cc1cc2ccc3cc(C#Cc4ccccc4)cc4ccc(c1)c2c34)c1ccccc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00007,C(#Cc1cc2ccc3cccc4ccc(c1)c2c34)c1ccccc1,BUIMZPOPFDNUGO-UHFFFAOYSA-N,,http://dx.doi.org/10.1021/ja2006862,toluene,1,3.143628301523038,3.143628301523038,0.0,3.143628301523038,3.143628301523038,0.0,3.143628301523038,general_only,C1CCC(CCC2CC3CCC4CCCC5CCC(C2)C3C45)CC1,C(#Cc1cc2ccc3cccc4ccc(c1)c2c34)c1ccccc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00008,C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,VWQZGWYEULIHEL-UHFFFAOYSA-N,,DOI: 10.1021/jo0703911,toluene,1,3.587795183539864,3.587795183539864,0.0,3.587795183539864,3.587795183539864,0.0,3.587795183539864,general_only,C1CCC(CCC2CCC(C3C4CCCCC4C4CCCCC43)CC2)CC1,C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00009,C(#Cc1ccc(N(c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)cc1)c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,KIMIZISALPYGGE-UHFFFAOYSA-N,,https://doi.org/10.1016/j.tetlet.2012.01.116,toluene,1,3.095610701244504,3.095610701244504,0.0,3.095610701244504,3.095610701244504,0.0,3.095610701244504,general_only,C1CCC(C2CC(C3CCCCC3)CC(C3CCC(CCC4CCC(C(C5CCC(CCC6CCC(C7CC(C8CCCCC8)CC(C8CCCCC8)C7)CC6)CC5)C5CCC(CCC6CCC(C7CC(C8CCCCC8)CC(C8CCCCC8)C7)CC6)CC5)CC4)CC3)C2)CC1,C(#Cc1ccc(N(c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)c2ccc(C#Cc3ccc(-c4cc(-c5ccccc5)nc(-c5ccccc5)c4)cc3)cc2)cc1)c1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00010,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1ccccc1,YRTLXHUVJXZUIN-UHFFFAOYSA-N,,http://dx.doi.org/10.1021/ja2006862,toluene,1,3.298384931681056,3.298384931681056,0.0,3.298384931681056,3.298384931681056,0.0,3.298384931681056,general_only,C1CCC(CCC2CCC3CCC4CCCC5CCC2C3C45)CC1,C(#Cc1ccc2ccc3cccc4ccc1c2c34)c1ccccc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
E00_133_00011,C(#Cc1ccc2ncsc2c1)c1ccc(N(c2ccc(C#Cc3ccc4ncsc4c3)cc2)c2ccc(C#Cc3ccc4ncsc4c3)cc2)cc1,QIEJHMSUOJPBON-UHFFFAOYSA-N,,DOI: 10.1021/jo201411t,toluene,1,3.1291634884312227,3.1291634884312227,0.0,3.1291634884312227,3.1291634884312227,0.0,3.1291634884312227,general_only,C1CC2CCC(CCC3CCC(C(C4CCC(CCC5CCC6CCCC6C5)CC4)C4CCC(CCC5CCC6CCCC6C5)CC4)CC3)CC2C1,C(#Cc1ccc2ncsc2c1)c1ccc(N(c2ccc(C#Cc3ccc4ncsc4c3)cc2)c2ccc(C#Cc3ccc4ncsc4c3)cc2)cc1,outside_MR_TADF,outside_CzBN_domain,outside_CzBN_domain
