MAE_rank,architecture,n_splits,n_base_models,best_model_count_by_MAE,MAE_mean,MAE_sample_SD,MAE_median,MAE_IQR,MAE_minimum,MAE_maximum,RMSE_mean,RMSE_sample_SD,RMSE_median,RMSE_IQR,RMSE_minimum,RMSE_maximum,R2_mean,R2_sample_SD,R2_median,R2_IQR,R2_minimum,R2_maximum,Pearson_r_mean,Pearson_r_sample_SD,Pearson_r_median,Pearson_r_IQR,Pearson_r_minimum,Pearson_r_maximum,Spearman_r_mean,Spearman_r_sample_SD,Spearman_r_median,Spearman_r_IQR,Spearman_r_minimum,Spearman_r_maximum,training_time_mean,training_time_sample_SD,training_time_median,training_time_IQR,training_time_minimum,training_time_maximum,prediction_time_mean,prediction_time_sample_SD,prediction_time_median,prediction_time_IQR,prediction_time_minimum,prediction_time_maximum,paired_MAE_difference_vs_RF_ET_XGBoost,wins_vs_RF_ET_XGBoost,ties_vs_RF_ET_XGBoost,losses_vs_RF_ET_XGBoost,near_best
1,RF + ET,20,2,5,0.11570371144242406,0.006055633777741975,0.11561624949491586,0.005912965155717376,0.10462323939857528,0.12856468144437014,0.17907343269843573,0.013729592856973505,0.17888451854300963,0.01637856910771157,0.15611232492324442,0.20932507897110744,0.8572180734653901,0.019105113007396642,0.859685768793932,0.020299169136819173,0.8117314926183795,0.8924114907493083,0.9262867822020662,0.01033764518460165,0.9277246421507065,0.011319195341568222,0.9013358621814835,0.9451685726949841,0.9238879858840312,0.010487504683917952,0.9238371930209653,0.011491400630887716,0.9008638367559214,0.9430162036550208,462.6192938566208,68.74787990563824,449.83036863803864,128.76612907648087,345.7820122241974,552.5962014198303,0.0011001110076904296,0.0014473058830585734,0.0009999275207519531,7.748603820800781e-07,0.0,0.006999969482421875,-0.0009571384438729208,15,0,5,True
2,ET,20,1,6,0.1157299911788656,0.006241439349991739,0.11402122472318094,0.007041864285616914,0.10492111336965544,0.1298256946362374,0.17979436888778916,0.013984839617309031,0.17812379713309712,0.015257287123530416,0.15876149915275614,0.2100680765932318,0.8560765685664895,0.019435208952949232,0.86045806779681,0.02016330906780084,0.8103926056502264,0.888729026094057,0.9269294438172627,0.010142867196455465,0.9286996055559598,0.011185858597502651,0.9009027676166002,0.944156406208092,0.9247434589856202,0.009903850271149399,0.925587296329524,0.009750006509423703,0.900701207108318,0.941094166952101,271.5340189576149,40.78777896558701,265.28565549850464,77.56457841396332,201.84190440177917,324.98089265823364,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009308587074313764,16,0,4,True
3,ET + DNN,20,2,4,0.11614025794816366,0.005999608230779868,0.11617184863885417,0.006358156566358991,0.10554987712877639,0.1278021903642196,0.17911990237983513,0.014042193858177995,0.17610059756668206,0.01523704762716227,0.15758926656315939,0.20988773606499275,0.857134297044819,0.01954823180415194,0.8613747240810194,0.022538046522193933,0.8107180165428864,0.8903661222471856,0.9262480532779808,0.010540096310421567,0.9285889550983751,0.012256808970305677,0.9007383701341847,0.9441557632859262,0.923885403049362,0.010112851834260542,0.9255396741367088,0.013624330402759455,0.9004710656574236,0.9410591810735496,315.32630989551546,49.03134184477162,309.7161074876785,96.03109735250473,238.4872362613678,375.8890583515167,0.0005999445915222168,0.0005025784372896283,0.0009995698928833008,0.0009999275207519531,0.0,0.0010008811950683594,-0.0005205919381333288,11,0,9,True
4,RF + ET + DNN,20,3,1,0.11619399870010169,0.006261530953063741,0.11641294636455528,0.006578482839498814,0.10496923094566912,0.12881607047400181,0.17988675929662207,0.014276251609657736,0.1786971263744798,0.01666614692679036,0.1561101610883191,0.20950588797531566,0.855891028791271,0.019887774645561223,0.8595408979572843,0.02184240414087979,0.8114061102688201,0.8924144732449001,0.9255763443307374,0.01075221506579298,0.9276012164274697,0.012067577793284157,0.9011460466158581,0.9451666300202568,0.9229515670609889,0.010736241637012743,0.922846707788498,0.012729991903014382,0.9005776632415673,0.9430547427868626,506.41068478822706,76.93553170529317,494.2613205909729,148.71140801906586,382.4253442287445,603.5033662319183,0.0007652521133422851,0.0004581799576296602,0.001000046730041504,0.0002506375312805176,0.0,0.0013012886047363281,-0.00046685118619527524,12,0,8,True
5,RF + ET + XGBoost,20,3,2,0.11666084988629699,0.00563012350052311,0.115273710161955,0.007526083019390797,0.10609316517002285,0.12662184913991134,0.17403083165137,0.01236310406700558,0.17344335070338196,0.013936427750588093,0.15466443516349654,0.20348887824244183,0.865195926254162,0.01687267101768569,0.8689896295848853,0.01721619814407971,0.82208338491477,0.8943979311442326,0.9305721963033304,0.009093796240518913,0.9326712218242303,0.009394167218929272,0.9068976337664763,0.9463474733186046,0.9282280659758477,0.00950215873361742,0.9307260377107607,0.014083917275701574,0.9095130007370352,0.9421062974855071,498.10011286735534,75.19361114832874,484.51495611667633,141.56051659584045,371.42727184295654,596.1071834564209,0.0007004857063293457,0.00047049084696872536,0.0009996891021728516,0.0010004043579101562,0.0,0.0010046958923339844,0.0,0,20,0,True
6,RF + ET + XGBoost + DNN,20,4,1,0.11693974202048259,0.005756115579810607,0.11562947897385545,0.0072390368700614716,0.106199328156874,0.12698165703546524,0.17454469814143478,0.01263457911514797,0.17358924573793724,0.015498536794779694,0.1547855282413109,0.20327690117915065,0.8643901590194527,0.017213398244742804,0.8687360572228101,0.02018224528484125,0.8224538680408182,0.8942325060996833,0.9301337446094019,0.009270752149914541,0.9325020579491231,0.010966372035312366,0.9071025867253877,0.9462113339741239,0.927596625562838,0.009469851784892165,0.9300134736650696,0.013113665207606928,0.9094916812202065,0.9419625273908349,541.8920787811279,83.3854212412267,528.9459092617035,161.68026530742645,408.0706043243408,647.0143482685089,0.0007445335388183594,0.0005180297098681333,0.00099945068359375,0.0009999871253967285,0.0,0.0015022754669189453,0.00027889213418561193,2,0,18,False
7,ET + XGBoost,20,2,1,0.11729181883260256,0.0055051772408528255,0.11575869998095545,0.005818873247406764,0.10815149373440318,0.1271167325458046,0.17444221742910196,0.012301541629513845,0.1729874071448097,0.013283129654296982,0.15658938164206368,0.20465831469108597,0.8645755879623414,0.01681570155902162,0.8694871813031171,0.016674343220992704,0.8200325599681236,0.8894457202429286,0.9302480057203002,0.009046353540567851,0.9327598613453725,0.008854795737070154,0.9057567797931537,0.9438567288904596,0.9279120998405765,0.008964863684800838,0.9304638627768758,0.008293370747592066,0.9073468831618131,0.9400212293188818,307.0157128691673,47.23479572970805,299.97024297714233,90.70653736591339,227.4871644973755,368.4918746948242,0.0005751967430114747,0.0004940211822671972,0.0009993314743041992,0.0009999871253967285,0.0,0.0010008811950683594,0.0006309689463055671,5,0,15,False
8,RF + XGBoost,20,2,0,0.11754473257391299,0.005456923210807935,0.1160449760552168,0.006099667177001944,0.10665386129262379,0.1270074876167471,0.17408496644239474,0.01220430357254147,0.17399440387896847,0.014887902253629876,0.15478525428141138,0.20326122121402498,0.8651184575226347,0.016685981032119986,0.8694289794845178,0.017084458232759725,0.8224812573779349,0.8942328805019506,0.9305237308115475,0.00898474503485891,0.9329079534842528,0.009224953106266032,0.9070852528427906,0.9462229530699432,0.9280507364580112,0.009685548478326493,0.9303620484646904,0.013586314861561477,0.9089887592847606,0.9422068818863426,226.56596895456315,34.43752309661785,219.22980058193207,62.374878108501434,169.58536982536316,271.12629079818726,0.0007751941680908203,0.0004723748885753871,0.0009999275207519531,0.0002505183219909668,0.0,0.0015003681182861328,0.0008838826876159854,1,0,19,False
9,ET + XGBoost + DNN,20,3,0,0.11757284221808159,0.005634072241142228,0.1159323342707152,0.005748762921148634,0.10820859097791882,0.12787717287447212,0.1749337450498877,0.012569115283420076,0.17251019311462273,0.014100466755486318,0.15668806073832278,0.20446361056956475,0.8638031262540015,0.017152930200272355,0.8696380741131153,0.019905162343227922,0.8203748254100625,0.8893914165326557,0.9298277907787961,0.00921979722928001,0.9329395218939092,0.010532356892908434,0.905949347021832,0.9437890858498543,0.9273714040559973,0.008893840773762398,0.9297961785303076,0.008888945847960406,0.9077218879962868,0.9399783169580855,350.8076544046402,55.477042202141725,344.4006952047348,109.95036286115646,264.1314969062805,419.39903950691223,0.0008743643760681152,0.00039140753776553585,0.001000046730041504,1.3709068298339844e-06,0.0,0.0014758110046386719,0.0009119923317846383,4,0,16,False
10,RF + XGBoost + DNN,20,3,0,0.11783180459361613,0.005652431416217024,0.11633235893304528,0.005945312836071262,0.10659863042127127,0.12857058833969193,0.17464660434590046,0.012527967071017812,0.17418946407096464,0.015980463398411943,0.15492832886286464,0.2030752358943953,0.8642362463807733,0.017095305738295936,0.8691364376139303,0.020295311775788694,0.8228059703263154,0.8940372600564505,0.9300426344554141,0.009199487124887832,0.9327211166905774,0.010947634942219842,0.907262380149896,0.9460738990563267,0.9272653940272212,0.009547230438065667,0.9294655892655345,0.013199704664978218,0.9088395226669599,0.94176095655753,270.3581603169441,42.69671071116603,263.65975308418274,81.45539093017578,204.45522618293762,322.74117636680603,0.0008258581161499024,0.0004380945046229055,0.0009999275207519531,1.7881393432617188e-06,0.0,0.00150299072265625,0.0011709547073191523,1,0,19,False
